maneuver,agent,episode,success,collided,return,steps,survival_time_s,creep_zone_mean_speed,high_speed_zone_rate,creep_speed_rate,min_ttc,min_conflict_ttc,video_dir,initial_vehicle_count,spawn_probability,negotiating_traffic
straight,clean_unmodified_dense_straight_learned_policy,0,True,False,231.45917024736508,86,17.2,3.985328588921508,0.01818181818181818,0.9636363636363636,0.6898594505875965,1.561409254983051,C:\Users\aha173\OneDrive - American University of Beirut\VIP - AGV - ND - Ahmad Assaad 1\agv_Unstructured_Labs\notebooks\results\route_videos\clean_unmodified_dense_policy_10eps\straight,6,0.35,False
straight,clean_unmodified_dense_straight_learned_policy,1,False,True,41.98909545537447,53,10.6,3.465109602552431,0.0,1.0,0.5368253068440664,1.6944382992688378,C:\Users\aha173\OneDrive - American University of Beirut\VIP - AGV - ND - Ahmad Assaad 1\agv_Unstructured_Labs\notebooks\results\route_videos\clean_unmodified_dense_policy_10eps\straight,6,0.35,False
straight,clean_unmodified_dense_straight_learned_policy,2,True,False,221.58213471867361,80,16.0,4.323626391193086,0.0,0.98,0.701085544912264,2.7131891369245698,C:\Users\aha173\OneDrive - American University of Beirut\VIP - AGV - ND - Ahmad Assaad 1\agv_Unstructured_Labs\notebooks\results\route_videos\clean_unmodified_dense_policy_10eps\straight,6,0.35,False
straight,clean_unmodified_dense_straight_learned_policy,3,True,False,227.4039374110195,83,16.6,4.316088385130193,0.0,1.0,0.550065207467396,2.7099669807584283,C:\Users\aha173\OneDrive - American University of Beirut\VIP - AGV - ND - Ahmad Assaad 1\agv_Unstructured_Labs\notebooks\results\route_videos\clean_unmodified_dense_policy_10eps\straight,6,0.35,False
straight,clean_unmodified_dense_straight_learned_policy,4,True,False,216.94218927228914,80,16.0,4.302832183009359,0.0196078431372549,0.9803921568627451,0.6353725909293447,2.6630376121000423,C:\Users\aha173\OneDrive - American University of Beirut\VIP - AGV - ND - Ahmad Assaad 1\agv_Unstructured_Labs\notebooks\results\route_videos\clean_unmodified_dense_policy_10eps\straight,6,0.35,False
straight,clean_unmodified_dense_straight_learned_policy,5,True,False,218.2722579476611,80,16.0,4.190797564182423,0.0,1.0,1.0414766420696775,2.130175913603976,C:\Users\aha173\OneDrive - American University of Beirut\VIP - AGV - ND - Ahmad Assaad 1\agv_Unstructured_Labs\notebooks\results\route_videos\clean_unmodified_dense_policy_10eps\straight,6,0.35,False
straight,clean_unmodified_dense_straight_learned_policy,6,True,False,216.53219773702898,80,16.0,4.109753322166358,0.0,1.0,0.6462333274655523,2.5309313420961908,C:\Users\aha173\OneDrive - American University of Beirut\VIP - AGV - ND - Ahmad Assaad 1\agv_Unstructured_Labs\notebooks\results\route_videos\clean_unmodified_dense_policy_10eps\straight,6,0.35,False
straight,clean_unmodified_dense_straight_learned_policy,7,True,False,244.9783712004247,92,18.4,3.795308804360844,0.0,1.0,0.6269434098111328,1.6111809946780855,C:\Users\aha173\OneDrive - American University of Beirut\VIP - AGV - ND - Ahmad Assaad 1\agv_Unstructured_Labs\notebooks\results\route_videos\clean_unmodified_dense_policy_10eps\straight,6,0.35,False
straight,clean_unmodified_dense_straight_learned_policy,8,True,False,226.82655595527086,81,16.2,4.409326900455456,0.0,1.0,0.6446487636010202,2.9042414628297877,C:\Users\aha173\OneDrive - American University of Beirut\VIP - AGV - ND - Ahmad Assaad 1\agv_Unstructured_Labs\notebooks\results\route_videos\clean_unmodified_dense_policy_10eps\straight,6,0.35,False
straight,clean_unmodified_dense_straight_learned_policy,9,True,False,237.08940142887326,85,17.0,4.417935838704195,0.0,1.0,0.6746137077531842,3.0383000857205853,C:\Users\aha173\OneDrive - American University of Beirut\VIP - AGV - ND - Ahmad Assaad 1\agv_Unstructured_Labs\notebooks\results\route_videos\clean_unmodified_dense_policy_10eps\straight,6,0.35,False
left,clean_unmodified_dense_left_learned_policy,0,True,False,219.07999363548242,87,17.4,3.9304196308470587,0.0,1.0,0.7298856449390757,1.770218342624436,C:\Users\aha173\OneDrive - American University of Beirut\VIP - AGV - ND - Ahmad Assaad 1\agv_Unstructured_Labs\notebooks\results\route_videos\clean_unmodified_dense_policy_10eps\left,6,0.35,False
left,clean_unmodified_dense_left_learned_policy,1,True,False,205.9137912087939,81,16.2,4.34603773147083,0.0,1.0,0.6434630456564115,2.6430649266392723,C:\Users\aha173\OneDrive - American University of Beirut\VIP - AGV - ND - Ahmad Assaad 1\agv_Unstructured_Labs\notebooks\results\route_videos\clean_unmodified_dense_policy_10eps\left,6,0.35,False
left,clean_unmodified_dense_left_learned_policy,2,False,True,23.441144382704145,42,8.4,3.812353735170912,0.0,1.0,0.6120200881436537,2.817916768017932,C:\Users\aha173\OneDrive - American University of Beirut\VIP - AGV - ND - Ahmad Assaad 1\agv_Unstructured_Labs\notebooks\results\route_videos\clean_unmodified_dense_policy_10eps\left,6,0.35,False
left,clean_unmodified_dense_left_learned_policy,3,False,True,19.551450728595583,40,8.0,3.790470296005573,0.0,1.0,0.5117464915775487,2.5688236251862304,C:\Users\aha173\OneDrive - American University of Beirut\VIP - AGV - ND - Ahmad Assaad 1\agv_Unstructured_Labs\notebooks\results\route_videos\clean_unmodified_dense_policy_10eps\left,6,0.35,False
left,clean_unmodified_dense_left_learned_policy,4,True,False,211.1011129219936,90,18.0,3.8868271995502672,0.0,1.0,0.6140114831658751,1.953414830262385,C:\Users\aha173\OneDrive - American University of Beirut\VIP - AGV - ND - Ahmad Assaad 1\agv_Unstructured_Labs\notebooks\results\route_videos\clean_unmodified_dense_policy_10eps\left,6,0.35,False
left,clean_unmodified_dense_left_learned_policy,5,True,False,212.5601033248439,81,16.2,4.418632131522545,0.0,1.0,0.6402269117956209,3.417148858213162,C:\Users\aha173\OneDrive - American University of Beirut\VIP - AGV - ND - Ahmad Assaad 1\agv_Unstructured_Labs\notebooks\results\route_videos\clean_unmodified_dense_policy_10eps\left,6,0.35,False
left,clean_unmodified_dense_left_learned_policy,6,True,False,211.683818990065,81,16.2,4.5033359240066435,0.0,1.0,0.6026814540567531,3.0105298492286177,C:\Users\aha173\OneDrive - American University of Beirut\VIP - AGV - ND - Ahmad Assaad 1\agv_Unstructured_Labs\notebooks\results\route_videos\clean_unmodified_dense_policy_10eps\left,6,0.35,False
left,clean_unmodified_dense_left_learned_policy,7,True,False,212.17580348281433,87,17.4,4.02953428009416,0.0,1.0,0.6885489561341884,2.6565477120217307,C:\Users\aha173\OneDrive - American University of Beirut\VIP - AGV - ND - Ahmad Assaad 1\agv_Unstructured_Labs\notebooks\results\route_videos\clean_unmodified_dense_policy_10eps\left,6,0.35,False
left,clean_unmodified_dense_left_learned_policy,8,False,True,22.19116687386694,38,7.6,3.9089774041723584,0.0,1.0,0.5753269412963953,2.5028074367855844,C:\Users\aha173\OneDrive - American University of Beirut\VIP - AGV - ND - Ahmad Assaad 1\agv_Unstructured_Labs\notebooks\results\route_videos\clean_unmodified_dense_policy_10eps\left,6,0.35,False
left,clean_unmodified_dense_left_learned_policy,9,True,False,219.43841610904275,89,17.8,3.7095533086481427,0.0,1.0,0.6662639024791528,1.962897105412118,C:\Users\aha173\OneDrive - American University of Beirut\VIP - AGV - ND - Ahmad Assaad 1\agv_Unstructured_Labs\notebooks\results\route_videos\clean_unmodified_dense_policy_10eps\left,6,0.35,False
